"STUDY","STATION","X","Y","START","END","STRATA","TRAIL","EFFORT"
"OSAGRID","G21_a",-83.21666667,8.77083333,"2018-02-28",NA,"terrestrial",NA,NA
"OSAGRID","G21_b",-83.21666667,8.77083333,"2018-02-28",NA,"terrestrial",NA,NA
"OSAGRID","G22_a",-83.61823,8.7394,"2018-02-23","2018-07-04","terrestrial",NA,131
"OSAGRID","G22_b",-83.61823,8.7394,"2018-02-23","2018-07-06","terrestrial",NA,133
"OSAGRID","G23_a",-83.58906,8.73949,"2018-02-21","2018-07-06","terrestrial",NA,135
"OSAGRID","G23_b",-83.58906,8.73949,"2018-02-20","2018-07-03","terrestrial",NA,133
"OSAGRID","G24_a",-83.53694,8.74278,"2018-02-12","2018-06-20","terrestrial",NA,128
"OSAGRID","G24_b",-83.53694,8.74278,"2018-02-12","2018-06-20","terrestrial",NA,128
"OSAGRID","G25_a",-83.50638889,8.73805556,"2018-03-01","2018-06-13","terrestrial",NA,104
"OSAGRID","G25_b",-83.50638889,8.73805556,"2018-03-01","2018-06-13","terrestrial",NA,104
"OSAGRID","G26_a",-83.47659,8.7433,"2018-02-20","2018-06-13","terrestrial",NA,113
"OSAGRID","G26_b",-83.47659,8.7433,"2018-02-20","2018-05-29","terrestrial",NA,98
"OSAGRID","G27_a",-83.43345,8.74764,"2018-02-20","2018-06-12","terrestrial",NA,112
"OSAGRID","G27_b",-83.43345,8.74764,"2018-02-20","2018-06-12","terrestrial",NA,112
"OSAGRID","G28_a",-83.40298,8.74121,"2018-02-22","2018-06-12","terrestrial",NA,110
"OSAGRID","G28_b",-83.40298,8.74121,"2018-02-22","2018-06-06","terrestrial",NA,104
"OSAGRID","G29_a",-83.36983,8.73894,"2018-02-21","2018-07-03","terrestrial",NA,132
"OSAGRID","G29_b",-83.36983,8.73894,"2018-02-21","2018-07-03","terrestrial",NA,132
"OSAGRID","G30_a",-83.32883,8.73392,"2018-02-28","2018-06-11","terrestrial",NA,103
"OSAGRID","G30_b",-83.32883,8.73392,"2018-02-28","2018-03-12","terrestrial",NA,12
"OSAGRID","G31_a",-83.28082,8.73319,"2018-02-28","2018-06-12","terrestrial",NA,104
"OSAGRID","G31_b",-83.28082,8.73319,"2018-02-28","2018-05-04","terrestrial",NA,65
"OSAGRID","G32_a",-83.235,8.73972222,"2018-03-02","2018-05-05","terrestrial",NA,64
"OSAGRID","G32_b",-83.235,8.73972222,"2018-03-02","2018-06-10","terrestrial",NA,100
"OSAGRID","G33_a",-83.21416667,8.73583333,"2018-03-01","2018-06-15","terrestrial",NA,106
"OSAGRID","G33_b",-83.21416667,8.73583333,"2018-03-01",NA,"terrestrial",NA,NA
"OSAGRID","G34_a",-83.18388889,8.73444444,"2018-02-09","2018-05-16","terrestrial",NA,96
"OSAGRID","G34_b",-83.18388889,8.73444444,"2018-02-09","2018-06-23","terrestrial",NA,134
"OSAGRID","G35_a",-83.70083333,8.68833333,"2018-02-15","2018-07-31","terrestrial",NA,166
"OSAGRID","G35_b",-83.70083333,8.68833333,"2018-02-15","2018-07-31","terrestrial",NA,166
"OSAGRID","G36_a",-83.6498,8.69541,"2018-02-11","2018-06-19","terrestrial",NA,128
"OSAGRID","G36_b",-83.6498,8.69541,"2018-02-11","2018-06-19","terrestrial",NA,128
"OSAGRID","G37_a",-83.61733,8.69999,"2018-02-11","2018-06-19","terrestrial",NA,128
"OSAGRID","G37_b",-83.61733,8.69999,"2018-02-11","2018-06-19","terrestrial",NA,128
"OSAGRID","G38_a",-83.58306,8.697,"2018-02-22","2018-06-22","terrestrial",NA,120
"OSAGRID","G38_b",-83.58306,8.697,"2018-02-22","2018-06-22","terrestrial",NA,120
"OSAGRID","G39_a",-83.540816,8.691247,"2018-04-21","2018-06-23","terrestrial",NA,63
"OSAGRID","G39_b",-83.540816,8.691247,"2018-04-21","2018-06-23","terrestrial",NA,63
"OSAGRID","G40_a",-83.50129,8.69628,"2018-02-21","2018-05-13","terrestrial",NA,81
"OSAGRID","G40_b",-83.50129,8.69628,"2018-02-21","2018-06-12","terrestrial",NA,111
"OSAGRID","G41_a",-83.47654,8.68746,"2018-02-09","2018-06-19","terrestrial",NA,130
"OSAGRID","G41_b",-83.47654,8.68746,"2018-02-09","2018-05-23","terrestrial",NA,103
"OSAGRID","G42_a",-83.3278,8.69876,"2018-02-28","2018-06-11","terrestrial",NA,103
"OSAGRID","G42_b",-83.3278,8.69876,"2018-02-28","2018-06-11","terrestrial",NA,103
"OSAGRID","G43_a",-83.29742,8.70254,"2018-03-02","2018-06-12","terrestrial",NA,102
"OSAGRID","G43_b",-83.29742,8.70254,"2018-03-02","2018-06-12","terrestrial",NA,102
"OSAGRID","G44_a",NA,NA,"2018-03-10",NA,"terrestrial",NA,NA
"OSAGRID","G44_b",NA,NA,"2018-03-10","2018-11-20","terrestrial",NA,255
"OSAGRID","G45_a",-83.21055556,8.69583333,"2018-02-28","2018-07-03","terrestrial",NA,125
"OSAGRID","G45_b",-83.21055556,8.69583333,"2018-02-28","2018-05-12","terrestrial",NA,73
"OSAGRID","G46_a",-83.18444444,8.69944444,"2018-02-09",NA,"terrestrial",NA,NA
"OSAGRID","G46_b",-83.18444444,8.69944444,"2018-02-09",NA,"terrestrial",NA,NA
"OSAGRID","G47_a",-83.70916667,8.66916667,"2018-02-16","2018-08-01","terrestrial",NA,166
"OSAGRID","G47_b",-83.70916667,8.66916667,"2018-02-16","2018-08-01","terrestrial",NA,166
"OSAGRID","G48_a",-83.6586444,8.6519722,"2018-03-12","2018-06-23","terrestrial",NA,103
"OSAGRID","G48_b",-83.6586444,8.6519722,"2018-03-12","2018-06-23","terrestrial",NA,103
"OSAGRID","G49_a",-83.6194833,8.6576361,"2018-03-01","2018-06-26","terrestrial",NA,117
"OSAGRID","G49_b",-83.6194833,8.6576361,"2018-03-01","2018-06-26","terrestrial",NA,117
"OSAGRID","G50_a",-83.57832,8.67258,"2018-02-22","2018-06-22","terrestrial",NA,120
"OSAGRID","G50_b",-83.57832,8.67258,"2018-02-22","2018-06-22","terrestrial",NA,120
"OSAGRID","G51_a",-83.55083,8.66584,"2018-02-22","2018-06-22","terrestrial",NA,120
"OSAGRID","G51_b",-83.55083,8.66584,"2018-02-22","2018-06-22","terrestrial",NA,120
"OSAGRID","G52_a",-83.51469,8.65868,"2018-02-21","2018-06-13","terrestrial",NA,112
"OSAGRID","G52_b",-83.51469,8.65868,"2018-02-21","2018-06-11","terrestrial",NA,110
"OSAGRID","G53_a",-83.4715,8.6622,"2018-02-10","2018-06-24","terrestrial",NA,134
"OSAGRID","G53_b",-83.4715,8.6622,"2018-02-10","2018-06-24","terrestrial",NA,134
"OSAGRID","G54_a",-83.43571,8.65908,"2018-02-27","2018-06-04","terrestrial",NA,97
"OSAGRID","G54_b",-83.43571,8.65908,"2018-03-13","2018-04-27","terrestrial",NA,45
"OSAGRID","G55_a",NA,NA,NA,NA,"terrestrial",NA,NA
"OSAGRID","G55_b",NA,NA,NA,NA,"terrestrial",NA,NA
"OSAGRID","G56_a",-83.25118611,8.651919444,"2018-03-07","2018-08-03","terrestrial",NA,149
"OSAGRID","G56_b",-83.25118611,8.651919444,"2018-03-07","2018-07-25","terrestrial",NA,140
"OSAGRID","G57_a",-83.21679167,8.651075,"2018-03-08","2018-08-07","terrestrial",NA,152
"OSAGRID","G57_b",-83.21679167,8.651075,"2018-03-08","2018-08-07","terrestrial",NA,152
"OSAGRID","G58_a",-83.17944444,8.66027778,"2018-02-11","2018-06-24","terrestrial",NA,133
"OSAGRID","G58_b",-83.17944444,8.66027778,"2018-02-11","2018-06-24","terrestrial",NA,133
"OSAGRID","G59_a",-83.14555556,8.6625,"2018-02-10","2018-06-23","terrestrial",NA,133
"OSAGRID","G59_b",-83.14555556,8.6625,"2018-02-10","2018-06-23","terrestrial",NA,133
"OSAGRID","G60_a",-83.72668,8.62956,"2018-03-20","2018-07-20","terrestrial",NA,122
"OSAGRID","G60_b",-83.72668,8.62956,"2018-03-20","2018-07-24","terrestrial",NA,126
"OSAGRID","G61_a",-83.6785,8.62867,"2018-03-01","2018-06-26","terrestrial",NA,117
"OSAGRID","G61_b",-83.6785,8.62867,"2018-03-01","2018-06-26","terrestrial",NA,117
"OSAGRID","G61_2_a",-83.6918027,8.623,"2018-03-17","2018-05-02","terrestrial",NA,46
"OSAGRID","G61_3_a",-83.67775,8.62462,"2018-05-09","2018-07-08","terrestrial",NA,60
"OSAGRID","G61_3_b",-83.67775,8.62462,"2018-05-09","2018-07-08","terrestrial",NA,60
"OSAGRID","G62_a",-83.65279,8.63725,"2018-03-19","2018-07-09","terrestrial",NA,112
"OSAGRID","G62_b",-83.65279,8.63725,"2018-03-19","2018-07-24","terrestrial",NA,127
"OSAGRID","G62_2_a",-83.6547444,8.6262361,"2018-03-15","2018-05-02","terrestrial",NA,48
"OSAGRID","G62_2_b",-83.6547444,8.6262361,"2018-02-15","2018-05-02","terrestrial",NA,76
"OSAGRID","G63_a",-83.62635,8.6354,"2018-05-10","2018-07-13","terrestrial",NA,64
"OSAGRID","G63_b",-83.62635,8.6354,"2018-05-10","2018-07-13","terrestrial",NA,64
"OSAGRID","G65_a",-83.53,8.6225,"2018-02-22",NA,"terrestrial",NA,NA
"OSAGRID","G65_b",-83.53,8.6225,"2018-02-22",NA,"terrestrial",NA,NA
"OSAGRID","G66_a",-83.50819,8.62882,"2018-02-23",NA,"terrestrial",NA,NA
"OSAGRID","G66_b",-83.50819,8.62882,"2018-02-23",NA,"terrestrial",NA,NA
"OSAGRID","G67_a",-83.47366,8.6238,"2018-02-13",NA,"terrestrial",NA,NA
"OSAGRID","G67_b",-83.47366,8.6238,"2018-02-13",NA,"terrestrial",NA,NA
"OSAGRID","G68_a",-83.43708,8.62893,"2018-02-14","2018-06-23","terrestrial",NA,129
"OSAGRID","G68_b",-83.43708,8.62893,"2018-02-14","2018-06-23","terrestrial",NA,129
"OSAGRID","G69_a",-83.1825,8.62555556,"2018-02-11",NA,"terrestrial",NA,NA
"OSAGRID","G69_b",-83.1825,8.62555556,"2018-02-11","2018-07-04","terrestrial",NA,143
"OSAGRID","G70_a",-83.14472222,8.62611111,"2018-02-09",NA,"terrestrial",NA,NA
"OSAGRID","G70_b",-83.14472222,8.62611111,"2018-02-09",NA,"terrestrial",NA,NA
"OSAGRID","G71_a",-83.72047,8.59093,"2018-03-20","2018-06-09","terrestrial",NA,81
"OSAGRID","G71_b",-83.72047,8.59093,"2018-03-20","2018-07-25","terrestrial",NA,127
"OSAGRID","G72_a",-83.69936,8.58922,"2018-03-20","2018-07-25","terrestrial",NA,127
"OSAGRID","G72_b",-83.69936,8.58922,"2018-03-20","2018-07-25","terrestrial",NA,127
"OSAGRID","G73_a",-83.64363,8.58538,"2018-01-03","2018-07-10","terrestrial",NA,188
"OSAGRID","G73_b",-83.66664,8.58492,"2018-01-03","2018-07-10","terrestrial",NA,188
"OSAGRID","G76_a",-83.53104,8.57481,"2018-01-01","2018-07-02","terrestrial",NA,182
"OSAGRID","G76_b",-83.53104,8.57481,"2018-01-01","2018-07-02","terrestrial",NA,182
"OSAGRID","G77_a",-83.50454,8.58945,"2018-02-09","2018-06-21","terrestrial",NA,132
"OSAGRID","G77_b",-83.50454,8.58945,"2018-02-09","2018-06-21","terrestrial",NA,132
"OSAGRID","G78_a",-83.47111,8.59679,"2018-02-13",NA,"terrestrial",NA,NA
"OSAGRID","G78_b",-83.47111,8.59679,"2018-02-13",NA,"terrestrial",NA,NA
"OSAGRID","G79_a",-83.43719,8.59297,"2018-02-14","2018-06-22","terrestrial",NA,128
"OSAGRID","G79_b",-83.43719,8.59297,"2018-02-14","2018-06-22","terrestrial",NA,128
"OSAGRID","G80_a",-83.40081,8.59095,"2018-02-14","2018-05-30","terrestrial",NA,105
"OSAGRID","G80_b",-83.40081,8.59095,"2018-02-14","2018-06-22","terrestrial",NA,128
"OSAGRID","G82_a",-83.66744,8.56781,"2018-03-21","2018-07-18","terrestrial",NA,119
"OSAGRID","G82_b",-83.66744,8.56781,"2018-03-21","2018-07-18","terrestrial",NA,119
"OSAGRID","G84_a",-83.5678,8.55265,"2018-05-07","2018-07-03","terrestrial",NA,57
"OSAGRID","G85_2_a",-83.55229,8.541,"2018-02-15","2018-04-08","terrestrial",NA,52
"OSAGRID","G85_2_b",-83.55229,8.541,"2018-02-15","2018-04-08","terrestrial",NA,52
"OSAGRID","G85_2_c",-83.55229,8.541,"2018-02-15","2018-04-08","terrestrial",NA,52
"OSAGRID","G85_2_d",-83.55229,8.541,"2018-02-15","2018-04-08","terrestrial",NA,52
"OSAGRID","G85_a",-83.5436222,8.5554805,"2018-03-05","2018-05-05","terrestrial",NA,61
"OSAGRID","G86_a",-83.5059,8.55535,"2018-02-13","2018-04-03","terrestrial",NA,49
"OSAGRID","G86_b",-83.5059,8.55535,"2018-02-13","2018-05-09","terrestrial",NA,85
"OSAGRID","G86_2_a",-83.51419,8.56837,"2018-03-05","2018-05-05","terrestrial",NA,61
"OSAGRID","G87_a",-83.47062,8.55777,"2018-02-26","2018-06-08","terrestrial",NA,102
"OSAGRID","G87_b",-83.47062,8.55777,"2018-02-26","2018-06-08","terrestrial",NA,102
"OSAGRID","G88_a",-83.43335,8.56277,"2018-02-14","2018-06-23","terrestrial",NA,129
"OSAGRID","G88_b",-83.43335,8.56277,"2018-02-14","2018-06-23","terrestrial",NA,129
"OSAGRID","G89_a",-83.39963,8.55509,"2018-02-15","2018-06-23","terrestrial",NA,128
"OSAGRID","G89_b",-83.39963,8.55509,"2018-02-15","2018-02-25","terrestrial",NA,10
"OSAGRID","G90_a",-83.36682,8.54991,"2018-02-15","2018-06-23","terrestrial",NA,128
"OSAGRID","G90_b",-83.36682,8.54991,"2018-02-15","2018-06-23","terrestrial",NA,128
"OSAGRID","G91_a",-83.33598,8.55836,"2018-03-12","2018-07-03","terrestrial",NA,113
"OSAGRID","G91_b",-83.33598,8.55836,"2018-03-12","2018-05-02","terrestrial",NA,51
"OSAGRID","G93_a",-83.62093,8.50523,"2018-03-12","2018-10-01","terrestrial",NA,203
"OSAGRID","G93_b",-83.62093,8.50523,"2018-03-12","2018-08-18","terrestrial",NA,159
"OSAGRID","G93_2_a",-83.60496,8.50839,"2018-01-01","2018-03-12","terrestrial",NA,70
"OSAGRID","G93_2_b",-83.60496,8.50839,"2018-01-01","2018-03-12","terrestrial",NA,70
"OSAGRID","G94_a",-83.59986,8.5044,"2018-02-21","2018-10-16","terrestrial",NA,237
"OSAGRID","G94_b",-83.59986,8.5044,"2018-02-21","2018-05-22","terrestrial",NA,90
"OSAGRID","G94_2_a",-83.58175,8.52194,"2018-03-07","2018-04-08","terrestrial",NA,32
"OSAGRID","G94_2_b",-83.58175,8.52194,"2018-03-07","2018-04-08","terrestrial",NA,32
"OSAGRID","G97_a",-83.46956,8.5184,"2018-02-28","2018-06-06","terrestrial",NA,98
"OSAGRID","G97_b",-83.46956,8.5184,"2018-02-28","2018-06-06","terrestrial",NA,98
"OSAGRID","G97_2_a",-83.46314,8.52803,"2018-03-17","2018-05-02","terrestrial",NA,46
"OSAGRID","G98_a",-83.43497,8.52564,"2018-02-20","2018-06-06","terrestrial",NA,106
"OSAGRID","G98_b",-83.43497,8.52564,"2018-02-20","2018-06-06","terrestrial",NA,106
"OSAGRID","G98_2_a",-83.43863,8.52756,"2018-02-15","2018-04-08","terrestrial",NA,52
"OSAGRID","G98_2_b",-83.43863,8.52756,"2018-02-15","2018-04-08","terrestrial",NA,52
"OSAGRID","G99_a",-83.40701,8.51783,"2018-02-19","2018-06-05","terrestrial",NA,106
"OSAGRID","G99_b",-83.40701,8.51783,"2018-02-19","2018-06-05","terrestrial",NA,106
"OSAGRID","G100_a",-83.35983,8.51897,"2018-02-27","2018-06-04","terrestrial",NA,97
"OSAGRID","G100_b",-83.35983,8.51897,"2018-02-27","2018-06-04","terrestrial",NA,97
"OSAGRID","G101_a",-83.32613,8.520456,"2018-02-15",NA,"terrestrial",NA,NA
"OSAGRID","G101_b",-83.32613,8.520456,"2018-02-15",NA,"terrestrial",NA,NA
"OSAGRID","G102_a",-83.29128,8.51884,"2018-02-15","2018-06-18","terrestrial",NA,123
"OSAGRID","G102_b",-83.29128,8.51884,"2018-02-15","2018-06-18","terrestrial",NA,123
"OSAGRID","G103_a",-83.6061833,8.4936499,"2018-02-23","2018-05-15","terrestrial",NA,81
"OSAGRID","G103_b",-83.6061833,8.4936499,"2018-02-23","2018-09-29","terrestrial",NA,218
"OSAGRID","G103_2_a",-83.59175,8.45567,"2018-02-18","2018-04-10","terrestrial",NA,51
"OSAGRID","G103_2_b",-83.59175,8.45567,"2018-02-18","2018-04-10","terrestrial",NA,51
"OSAGRID","G103_2_c",-83.59175,8.45567,"2018-02-18","2018-04-10","terrestrial",NA,51
"OSAGRID","G103_2_d",-83.59175,8.45567,"2018-02-18","2018-04-10","terrestrial",NA,51
"OSAGRID","G104_a",-83.59146,8.4836,"2018-01-27","2018-08-07","terrestrial",NA,192
"OSAGRID","G104_b",-83.59146,8.4836,"2018-01-27","2018-09-25","terrestrial",NA,241
"OSAGRID","G104_2_a",-83.57796,8.45565,"2018-03-05","2018-05-05","terrestrial",NA,61
"OSAGRID","G104_2_b",-83.57796,8.45565,"2018-03-05","2018-05-05","terrestrial",NA,61
"OSAGRID","G104_2_c",-83.57796,8.45565,"2018-03-05","2018-05-05","terrestrial",NA,61
"OSAGRID","G104_2_d",-83.57796,8.45565,"2018-03-05","2018-05-05","terrestrial",NA,61
"OSAGRID","G108_a",-83.43783333,8.481527778,"2018-02-24","2018-07-12","terrestrial",NA,138
"OSAGRID","G108_b",-83.43783333,8.481527778,"2018-02-24","2018-07-12","terrestrial",NA,138
"OSAGRID","G109_a",-83.395,8.48638889,"2018-02-24","2018-07-05","terrestrial",NA,131
"OSAGRID","G109_b",-83.395,8.48638889,"2018-02-24",NA,"terrestrial",NA,NA
"OSAGRID","G110_a",-83.35925,8.47401,"2018-03-01","2018-06-04","terrestrial",NA,95
"OSAGRID","G110_b",-83.35925,8.47401,"2018-03-01","2018-06-04","terrestrial",NA,95
"OSAGRID","G111_a",-83.3327,8.47645,"2018-02-24","2018-06-08","terrestrial",NA,104
"OSAGRID","G111_b",-83.3327,8.47645,"2018-02-24","2018-06-08","terrestrial",NA,104
"OSAGRID","G112_a",-83.29022,8.4804,"2018-02-23","2018-06-14","terrestrial",NA,111
"OSAGRID","G112_b",-83.29022,8.4804,"2018-02-23","2018-06-14","terrestrial",NA,111
"OSAGRID","G113_a",-83.5736805,8.4569111,"2018-02-21","2018-09-28","terrestrial",NA,219
"OSAGRID","G113_b",-83.5736805,8.4569111,"2018-02-21","2018-10-03","terrestrial",NA,224
"OSAGRID","G114_a",-83.5488,8.44095,"2018-02-22","2018-08-13","terrestrial",NA,172
"OSAGRID","G114_b",-83.5488,8.44095,"2018-02-22","2018-09-03","terrestrial",NA,193
"OSAGRID","G115_a",-83.50917,8.44887,"2018-02-26","2018-09-03","terrestrial",NA,189
"OSAGRID","G115_b",NA,NA,"2018-02-26",NA,"terrestrial",NA,NA
"OSAGRID","G116_a",-83.47461,8.45421,"2018-02-23","2018-06-12","terrestrial",NA,109
"OSAGRID","G116_b",-83.47461,8.45421,"2018-02-23","2018-06-12","terrestrial",NA,109
"OSAGRID","G117_a",-83.43636,8.44941,"2018-02-23","2018-06-12","terrestrial",NA,109
"OSAGRID","G117_b",-83.43636,8.44941,"2018-02-23","2018-06-12","terrestrial",NA,109
"OSAGRID","G118_a",-83.39297,8.45043,"2018-03-02","2018-06-13","terrestrial",NA,103
"OSAGRID","G118_b",-83.39297,8.45043,"2018-03-02","2018-06-13","terrestrial",NA,103
"OSAGRID","G119_a",-83.3586,8.44755,"2018-02-21","2018-06-11","terrestrial",NA,110
"OSAGRID","G119_b",-83.3586,8.44755,"2018-02-21","2018-06-11","terrestrial",NA,110
"OSAGRID","G120_a",-83.33035,8.4434,"2018-02-22","2018-06-13","terrestrial",NA,111
"OSAGRID","G120_b",-83.33035,8.4434,"2018-02-22","2018-06-13","terrestrial",NA,111
"OSAGRID","G121_a",-83.28747,8.44758,"2018-03-06","2018-06-14","terrestrial",NA,100
"OSAGRID","G121_b",-83.28747,8.44758,"2018-03-06","2018-06-14","terrestrial",NA,100
"OSAGRID","G122_a",-83.367,8.40849,"2018-03-01","2018-06-11","terrestrial",NA,102
"OSAGRID","G122_b",-83.367,8.40849,"2018-04-28","2018-06-11","terrestrial",NA,44
"OSAGRID","G123_a",-83.32938,8.40957,"2018-02-22","2018-06-07","terrestrial",NA,105
"OSAGRID","G123_b",-83.32938,8.40957,"2018-02-22","2018-06-07","terrestrial",NA,105
"OSAGRID","G124_a",-83.2914,8.41005,"2018-03-13","2018-03-13","terrestrial",NA,0
"OSAGRID","G124_b",-83.2914,8.41005,"2018-03-13","2018-06-14","terrestrial",NA,93
"OSAGRID","G125_a",-83.29766,8.38096,"2018-03-02","2018-06-06","terrestrial",NA,96
"OSAGRID","G125_b",-83.29766,8.38096,"2018-03-02","2018-06-06","terrestrial",NA,96
